Time;Herbivore_Male;Herbivore_Female;Predator_Male;Predator_Female;Deaths;HerbivoreDeaths;PredatorDeaths;Births;PredatorKills;TreesEaten;TreesSpawned;MaxGeneration;HerbivoreMale_Tezyzna;HerbivoreMale_Poped;HerbivoreMale_Zwin;HerbivoreMale_Atrak;HerbivoreMale_Perc;HerbivoreMale_Sila;HerbivoreFemale_Tezyzna;HerbivoreFemale_Poped;HerbivoreFemale_Zwin;HerbivoreFemale_Atrak;HerbivoreFemale_Perc;HerbivoreFemale_Sila;PredatorMale_Tezyzna;PredatorMale_Poped;PredatorMale_Zwin;PredatorMale_Atrak;PredatorMale_Perc;PredatorMale_Sila;PredatorFemale_Tezyzna;PredatorFemale_Poped;PredatorFemale_Zwin;PredatorFemale_Atrak;PredatorFemale_Perc;PredatorFemale_Sila
0.98;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
1.98;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
2.98;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
3.99;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
4.99;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
5.99;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
6.99;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
7.99;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
9.00;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
10.00;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
11.00;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
12.01;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
13.01;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
14.01;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
15.01;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
16.01;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
17.02;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
18.02;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
19.02;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
20.02;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
21.02;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
22.03;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
23.03;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
24.03;7;3;4;6;0;0;0;0;0;1;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
25.03;7;3;4;6;0;0;0;0;0;1;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
26.03;7;3;4;6;0;0;0;0;0;1;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
27.04;7;3;4;6;0;0;0;0;0;1;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
28.04;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
29.04;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
30.04;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
31.04;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
32.04;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
33.04;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
34.05;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
35.05;7;3;4;6;0;0;0;0;0;1;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
36.05;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
37.05;7;3;4;6;0;0;0;0;0;1;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
38.06;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
39.06;7;3;4;6;0;0;0;0;0;1;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
40.06;7;3;4;6;0;0;0;0;0;0;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
41.06;7;3;4;6;0;0;0;0;0;0;1;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
42.07;7;3;4;6;0;0;0;0;0;0;1;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
43.07;7;3;4;6;0;0;0;0;0;1;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
44.07;7;3;4;6;0;0;0;0;0;1;0;0;0.471;0.576;0.717;0.581;0.553;0.603;0.460;0.544;0.707;0.588;0.713;0.650;0.478;0.456;0.356;0.508;0.696;0.446;0.376;0.286;0.515;0.583;0.444;0.589
