Time;Herbivore_Male;Herbivore_Female;Predator_Male;Predator_Female;Deaths;HerbivoreDeaths;PredatorDeaths;Births;PredatorKills;TreesEaten;TreesSpawned;MaxGeneration;HerbivoreMale_Tezyzna;HerbivoreMale_Poped;HerbivoreMale_Zwin;HerbivoreMale_Atrak;HerbivoreMale_Perc;HerbivoreMale_Sila;HerbivoreFemale_Tezyzna;HerbivoreFemale_Poped;HerbivoreFemale_Zwin;HerbivoreFemale_Atrak;HerbivoreFemale_Perc;HerbivoreFemale_Sila;PredatorMale_Tezyzna;PredatorMale_Poped;PredatorMale_Zwin;PredatorMale_Atrak;PredatorMale_Perc;PredatorMale_Sila;PredatorFemale_Tezyzna;PredatorFemale_Poped;PredatorFemale_Zwin;PredatorFemale_Atrak;PredatorFemale_Perc;PredatorFemale_Sila
0.98;4;6;7;3;0;0;0;0;0;0;0;0;0.435;0.251;0.466;0.493;0.633;0.368;0.688;0.598;0.559;0.443;0.565;0.353;0.532;0.449;0.698;0.478;0.511;0.801;0.432;0.564;0.113;0.496;0.556;0.587
1.98;4;6;7;3;0;0;0;0;0;0;0;0;0.435;0.251;0.466;0.493;0.633;0.368;0.688;0.598;0.559;0.443;0.565;0.353;0.532;0.449;0.698;0.478;0.511;0.801;0.432;0.564;0.113;0.496;0.556;0.587
2.99;4;6;7;3;0;0;0;0;0;0;0;0;0.435;0.251;0.466;0.493;0.633;0.368;0.688;0.598;0.559;0.443;0.565;0.353;0.532;0.449;0.698;0.478;0.511;0.801;0.432;0.564;0.113;0.496;0.556;0.587
4.00;4;6;7;3;0;0;0;0;0;0;0;0;0.435;0.251;0.466;0.493;0.633;0.368;0.688;0.598;0.559;0.443;0.565;0.353;0.532;0.449;0.698;0.478;0.511;0.801;0.432;0.564;0.113;0.496;0.556;0.587
5.00;4;6;7;3;0;0;0;0;0;0;0;0;0.435;0.251;0.466;0.493;0.633;0.368;0.688;0.598;0.559;0.443;0.565;0.353;0.532;0.449;0.698;0.478;0.511;0.801;0.432;0.564;0.113;0.496;0.556;0.587
6.00;4;6;7;3;0;0;0;0;0;0;0;0;0.435;0.251;0.466;0.493;0.633;0.368;0.688;0.598;0.559;0.443;0.565;0.353;0.532;0.449;0.698;0.478;0.511;0.801;0.432;0.564;0.113;0.496;0.556;0.587
7.00;4;6;7;3;0;0;0;0;0;0;0;0;0.435;0.251;0.466;0.493;0.633;0.368;0.688;0.598;0.559;0.443;0.565;0.353;0.532;0.449;0.698;0.478;0.511;0.801;0.432;0.564;0.113;0.496;0.556;0.587
8.01;4;6;7;3;0;0;0;0;0;0;0;0;0.435;0.251;0.466;0.493;0.633;0.368;0.688;0.598;0.559;0.443;0.565;0.353;0.532;0.449;0.698;0.478;0.511;0.801;0.432;0.564;0.113;0.496;0.556;0.587
9.01;4;6;7;3;0;0;0;0;0;0;0;0;0.435;0.251;0.466;0.493;0.633;0.368;0.688;0.598;0.559;0.443;0.565;0.353;0.532;0.449;0.698;0.478;0.511;0.801;0.432;0.564;0.113;0.496;0.556;0.587
10.01;4;6;7;3;0;0;0;0;0;0;0;0;0.435;0.251;0.466;0.493;0.633;0.368;0.688;0.598;0.559;0.443;0.565;0.353;0.532;0.449;0.698;0.478;0.511;0.801;0.432;0.564;0.113;0.496;0.556;0.587
