Time;Herbivore_Male;Herbivore_Female;Predator_Male;Predator_Female;Deaths;HerbivoreDeaths;PredatorDeaths;Births;PredatorKills;TreesEaten;TreesSpawned;MaxGeneration;HerbivoreMale_Tezyzna;HerbivoreMale_Poped;HerbivoreMale_Zwin;HerbivoreMale_Atrak;HerbivoreMale_Perc;HerbivoreMale_Sila;HerbivoreFemale_Tezyzna;HerbivoreFemale_Poped;HerbivoreFemale_Zwin;HerbivoreFemale_Atrak;HerbivoreFemale_Perc;HerbivoreFemale_Sila;PredatorMale_Tezyzna;PredatorMale_Poped;PredatorMale_Zwin;PredatorMale_Atrak;PredatorMale_Perc;PredatorMale_Sila;PredatorFemale_Tezyzna;PredatorFemale_Poped;PredatorFemale_Zwin;PredatorFemale_Atrak;PredatorFemale_Perc;PredatorFemale_Sila
0.98;3;7;3;7;0;0;0;0;0;0;0;0;0.718;0.743;0.480;0.505;0.632;0.700;0.853;0.426;0.520;0.481;0.534;0.466;0.321;0.432;0.638;0.610;0.604;0.204;0.557;0.564;0.431;0.346;0.463;0.520
1.98;3;7;3;7;0;0;0;0;0;0;0;0;0.718;0.743;0.480;0.505;0.632;0.700;0.853;0.426;0.520;0.481;0.534;0.466;0.321;0.432;0.638;0.610;0.604;0.204;0.557;0.564;0.431;0.346;0.463;0.520
2.99;3;7;3;7;0;0;0;0;0;0;0;0;0.718;0.743;0.480;0.505;0.632;0.700;0.853;0.426;0.520;0.481;0.534;0.466;0.321;0.432;0.638;0.610;0.604;0.204;0.557;0.564;0.431;0.346;0.463;0.520
3.99;3;7;3;7;0;0;0;0;0;0;0;0;0.718;0.743;0.480;0.505;0.632;0.700;0.853;0.426;0.520;0.481;0.534;0.466;0.321;0.432;0.638;0.610;0.604;0.204;0.557;0.564;0.431;0.346;0.463;0.520
4.99;3;7;3;7;0;0;0;0;0;0;0;0;0.718;0.743;0.480;0.505;0.632;0.700;0.853;0.426;0.520;0.481;0.534;0.466;0.321;0.432;0.638;0.610;0.604;0.204;0.557;0.564;0.431;0.346;0.463;0.520
5.99;3;7;3;7;0;0;0;0;0;0;0;0;0.718;0.743;0.480;0.505;0.632;0.700;0.853;0.426;0.520;0.481;0.534;0.466;0.321;0.432;0.638;0.610;0.604;0.204;0.557;0.564;0.431;0.346;0.463;0.520
6.99;3;7;3;7;0;0;0;0;0;0;0;0;0.718;0.743;0.480;0.505;0.632;0.700;0.853;0.426;0.520;0.481;0.534;0.466;0.321;0.432;0.638;0.610;0.604;0.204;0.557;0.564;0.431;0.346;0.463;0.520
7.99;3;7;3;7;0;0;0;0;0;0;0;0;0.718;0.743;0.480;0.505;0.632;0.700;0.853;0.426;0.520;0.481;0.534;0.466;0.321;0.432;0.638;0.610;0.604;0.204;0.557;0.564;0.431;0.346;0.463;0.520
8.99;3;7;3;7;0;0;0;0;0;0;0;0;0.718;0.743;0.480;0.505;0.632;0.700;0.853;0.426;0.520;0.481;0.534;0.466;0.321;0.432;0.638;0.610;0.604;0.204;0.557;0.564;0.431;0.346;0.463;0.520
10.00;3;7;3;7;0;0;0;0;0;0;0;0;0.718;0.743;0.480;0.505;0.632;0.700;0.853;0.426;0.520;0.481;0.534;0.466;0.321;0.432;0.638;0.610;0.604;0.204;0.557;0.564;0.431;0.346;0.463;0.520
11.00;3;7;3;7;0;0;0;0;0;0;0;0;0.718;0.743;0.480;0.505;0.632;0.700;0.853;0.426;0.520;0.481;0.534;0.466;0.321;0.432;0.638;0.610;0.604;0.204;0.557;0.564;0.431;0.346;0.463;0.520
12.01;3;7;3;7;0;0;0;0;0;0;0;0;0.718;0.743;0.480;0.505;0.632;0.700;0.853;0.426;0.520;0.481;0.534;0.466;0.321;0.432;0.638;0.610;0.604;0.204;0.557;0.564;0.431;0.346;0.463;0.520
