Time;Herbivore_Male;Herbivore_Female;Predator_Male;Predator_Female;Deaths;HerbivoreDeaths;PredatorDeaths;Births;PredatorKills;TreesEaten;TreesSpawned;MaxGeneration;HerbivoreMale_Tezyzna;HerbivoreMale_Poped;HerbivoreMale_Zwin;HerbivoreMale_Atrak;HerbivoreMale_Perc;HerbivoreMale_Sila;HerbivoreFemale_Tezyzna;HerbivoreFemale_Poped;HerbivoreFemale_Zwin;HerbivoreFemale_Atrak;HerbivoreFemale_Perc;HerbivoreFemale_Sila;PredatorMale_Tezyzna;PredatorMale_Poped;PredatorMale_Zwin;PredatorMale_Atrak;PredatorMale_Perc;PredatorMale_Sila;PredatorFemale_Tezyzna;PredatorFemale_Poped;PredatorFemale_Zwin;PredatorFemale_Atrak;PredatorFemale_Perc;PredatorFemale_Sila
0.98;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
1.98;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
2.98;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
3.98;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
4.98;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
5.98;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
6.99;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
7.99;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
8.99;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
9.99;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
10.99;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
12.00;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
13.00;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
14.00;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
15.00;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
16.00;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
17.00;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
18.00;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
19.01;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
20.01;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
21.01;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
22.01;7;3;6;4;0;0;0;0;0;0;0;0;0.481;0.451;0.379;0.575;0.434;0.437;0.534;0.667;0.553;0.322;0.597;0.664;0.571;0.551;0.372;0.662;0.649;0.376;0.760;0.576;0.574;0.327;0.566;0.299
