Time;Herbivore_Male;Herbivore_Female;Predator_Male;Predator_Female;Deaths;HerbivoreDeaths;PredatorDeaths;Births;PredatorKills;TreesEaten;TreesSpawned;MaxGeneration;HerbivoreMale_Tezyzna;HerbivoreMale_Poped;HerbivoreMale_Zwin;HerbivoreMale_Atrak;HerbivoreMale_Perc;HerbivoreMale_Sila;HerbivoreFemale_Tezyzna;HerbivoreFemale_Poped;HerbivoreFemale_Zwin;HerbivoreFemale_Atrak;HerbivoreFemale_Perc;HerbivoreFemale_Sila;PredatorMale_Tezyzna;PredatorMale_Poped;PredatorMale_Zwin;PredatorMale_Atrak;PredatorMale_Perc;PredatorMale_Sila;PredatorFemale_Tezyzna;PredatorFemale_Poped;PredatorFemale_Zwin;PredatorFemale_Atrak;PredatorFemale_Perc;PredatorFemale_Sila
0.98;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
1.98;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
2.99;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
3.99;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
4.99;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
5.99;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
7.00;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
8.00;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
9.00;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
10.00;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
11.00;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
12.01;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
13.01;5;5;6;4;0;0;0;0;0;0;0;0;0.777;0.596;0.223;0.690;0.566;0.474;0.638;0.598;0.616;0.638;0.639;0.504;0.380;0.531;0.337;0.299;0.578;0.327;0.543;0.418;0.529;0.499;0.301;0.617
