Time;Herbivore_Male;Herbivore_Female;Predator_Male;Predator_Female;Deaths;HerbivoreDeaths;PredatorDeaths;Births;PredatorKills;TreesEaten;TreesSpawned;MaxGeneration;HerbivoreMale_Tezyzna;HerbivoreMale_Poped;HerbivoreMale_Zwin;HerbivoreMale_Atrak;HerbivoreMale_Perc;HerbivoreMale_Sila;HerbivoreFemale_Tezyzna;HerbivoreFemale_Poped;HerbivoreFemale_Zwin;HerbivoreFemale_Atrak;HerbivoreFemale_Perc;HerbivoreFemale_Sila;PredatorMale_Tezyzna;PredatorMale_Poped;PredatorMale_Zwin;PredatorMale_Atrak;PredatorMale_Perc;PredatorMale_Sila;PredatorFemale_Tezyzna;PredatorFemale_Poped;PredatorFemale_Zwin;PredatorFemale_Atrak;PredatorFemale_Perc;PredatorFemale_Sila
0.98;4;6;3;7;0;0;0;0;0;0;0;0;0.502;0.348;0.415;0.621;0.520;0.869;0.330;0.268;0.338;0.503;0.588;0.683;0.599;0.370;0.750;0.657;0.361;0.360;0.475;0.557;0.584;0.381;0.439;0.349
1.98;4;6;3;7;0;0;0;0;0;0;0;0;0.502;0.348;0.415;0.621;0.520;0.869;0.330;0.268;0.338;0.503;0.588;0.683;0.599;0.370;0.750;0.657;0.361;0.360;0.475;0.557;0.584;0.381;0.439;0.349
2.98;4;6;3;7;0;0;0;0;0;0;0;0;0.502;0.348;0.415;0.621;0.520;0.869;0.330;0.268;0.338;0.503;0.588;0.683;0.599;0.370;0.750;0.657;0.361;0.360;0.475;0.557;0.584;0.381;0.439;0.349
3.99;4;6;3;7;0;0;0;0;0;0;0;0;0.502;0.348;0.415;0.621;0.520;0.869;0.330;0.268;0.338;0.503;0.588;0.683;0.599;0.370;0.750;0.657;0.361;0.360;0.475;0.557;0.584;0.381;0.439;0.349
4.99;4;6;3;7;0;0;0;0;0;0;0;0;0.502;0.348;0.415;0.621;0.520;0.869;0.330;0.268;0.338;0.503;0.588;0.683;0.599;0.370;0.750;0.657;0.361;0.360;0.475;0.557;0.584;0.381;0.439;0.349
5.99;4;6;3;7;0;0;0;0;0;0;0;0;0.502;0.348;0.415;0.621;0.520;0.869;0.330;0.268;0.338;0.503;0.588;0.683;0.599;0.370;0.750;0.657;0.361;0.360;0.475;0.557;0.584;0.381;0.439;0.349
6.99;4;6;3;7;0;0;0;0;0;0;0;0;0.502;0.348;0.415;0.621;0.520;0.869;0.330;0.268;0.338;0.503;0.588;0.683;0.599;0.370;0.750;0.657;0.361;0.360;0.475;0.557;0.584;0.381;0.439;0.349
7.99;4;6;3;7;0;0;0;0;0;0;0;0;0.502;0.348;0.415;0.621;0.520;0.869;0.330;0.268;0.338;0.503;0.588;0.683;0.599;0.370;0.750;0.657;0.361;0.360;0.475;0.557;0.584;0.381;0.439;0.349
8.99;4;6;3;7;0;0;0;0;0;0;0;0;0.502;0.348;0.415;0.621;0.520;0.869;0.330;0.268;0.338;0.503;0.588;0.683;0.599;0.370;0.750;0.657;0.361;0.360;0.475;0.557;0.584;0.381;0.439;0.349
10.00;4;6;3;7;0;0;0;0;0;0;0;0;0.502;0.348;0.415;0.621;0.520;0.869;0.330;0.268;0.338;0.503;0.588;0.683;0.599;0.370;0.750;0.657;0.361;0.360;0.475;0.557;0.584;0.381;0.439;0.349
