Time;Herbivore_Male;Herbivore_Female;Predator_Male;Predator_Female;Deaths;HerbivoreDeaths;PredatorDeaths;Births;PredatorKills;TreesEaten;TreesSpawned;MaxGeneration;HerbivoreMale_Tezyzna;HerbivoreMale_Poped;HerbivoreMale_Zwin;HerbivoreMale_Atrak;HerbivoreMale_Perc;HerbivoreMale_Sila;HerbivoreFemale_Tezyzna;HerbivoreFemale_Poped;HerbivoreFemale_Zwin;HerbivoreFemale_Atrak;HerbivoreFemale_Perc;HerbivoreFemale_Sila;PredatorMale_Tezyzna;PredatorMale_Poped;PredatorMale_Zwin;PredatorMale_Atrak;PredatorMale_Perc;PredatorMale_Sila;PredatorFemale_Tezyzna;PredatorFemale_Poped;PredatorFemale_Zwin;PredatorFemale_Atrak;PredatorFemale_Perc;PredatorFemale_Sila
0.98;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
1.98;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
2.98;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
3.99;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
4.99;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
5.99;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
6.99;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
7.99;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
9.00;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
10.00;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
11.00;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
12.00;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
13.00;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
14.01;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
15.01;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
16.01;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
17.01;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
18.01;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
19.01;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
20.01;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
21.01;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
22.01;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
23.01;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
24.02;4;6;4;6;0;0;0;0;0;1;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
25.02;4;6;4;6;0;0;0;0;0;2;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
26.02;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
27.02;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
28.02;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
29.03;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
30.03;4;6;4;6;0;0;0;0;0;1;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
31.03;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
32.03;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
33.03;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
34.03;4;6;4;6;0;0;0;0;0;1;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
35.03;4;6;4;6;0;0;0;0;0;1;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
36.04;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
37.04;4;6;4;6;0;0;0;0;0;0;1;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
38.04;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
39.04;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
40.04;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
41.04;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
42.04;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
43.05;4;6;4;6;0;0;0;0;0;0;0;0;0.381;0.516;0.444;0.520;0.430;0.684;0.466;0.411;0.646;0.582;0.228;0.450;0.639;0.303;0.441;0.530;0.397;0.116;0.579;0.557;0.502;0.390;0.703;0.529
