Time;Herbivore_Male;Herbivore_Female;Predator_Male;Predator_Female;Deaths;HerbivoreDeaths;PredatorDeaths;Births;PredatorKills;TreesEaten;TreesSpawned;MaxGeneration;HerbivoreMale_Tezyzna;HerbivoreMale_Poped;HerbivoreMale_Zwin;HerbivoreMale_Atrak;HerbivoreMale_Perc;HerbivoreMale_Sila;HerbivoreFemale_Tezyzna;HerbivoreFemale_Poped;HerbivoreFemale_Zwin;HerbivoreFemale_Atrak;HerbivoreFemale_Perc;HerbivoreFemale_Sila;PredatorMale_Tezyzna;PredatorMale_Poped;PredatorMale_Zwin;PredatorMale_Atrak;PredatorMale_Perc;PredatorMale_Sila;PredatorFemale_Tezyzna;PredatorFemale_Poped;PredatorFemale_Zwin;PredatorFemale_Atrak;PredatorFemale_Perc;PredatorFemale_Sila
0.98;7;3;7;3;0;0;0;0;0;0;0;0;0.427;0.409;0.467;0.585;0.420;0.366;0.381;0.457;0.529;0.186;0.560;0.289;0.515;0.513;0.594;0.484;0.466;0.730;0.407;0.307;0.712;0.913;0.758;0.353
1.98;7;3;7;3;0;0;0;0;0;0;0;0;0.427;0.409;0.467;0.585;0.420;0.366;0.381;0.457;0.529;0.186;0.560;0.289;0.515;0.513;0.594;0.484;0.466;0.730;0.407;0.307;0.712;0.913;0.758;0.353
2.99;7;3;7;3;0;0;0;0;0;0;0;0;0.427;0.409;0.467;0.585;0.420;0.366;0.381;0.457;0.529;0.186;0.560;0.289;0.515;0.513;0.594;0.484;0.466;0.730;0.407;0.307;0.712;0.913;0.758;0.353
3.99;7;3;7;3;0;0;0;0;0;0;0;0;0.427;0.409;0.467;0.585;0.420;0.366;0.381;0.457;0.529;0.186;0.560;0.289;0.515;0.513;0.594;0.484;0.466;0.730;0.407;0.307;0.712;0.913;0.758;0.353
4.99;7;3;7;3;0;0;0;0;0;0;0;0;0.427;0.409;0.467;0.585;0.420;0.366;0.381;0.457;0.529;0.186;0.560;0.289;0.515;0.513;0.594;0.484;0.466;0.730;0.407;0.307;0.712;0.913;0.758;0.353
5.99;7;3;7;3;0;0;0;0;0;0;0;0;0.427;0.409;0.467;0.585;0.420;0.366;0.381;0.457;0.529;0.186;0.560;0.289;0.515;0.513;0.594;0.484;0.466;0.730;0.407;0.307;0.712;0.913;0.758;0.353
6.99;7;3;7;3;0;0;0;0;0;0;0;0;0.427;0.409;0.467;0.585;0.420;0.366;0.381;0.457;0.529;0.186;0.560;0.289;0.515;0.513;0.594;0.484;0.466;0.730;0.407;0.307;0.712;0.913;0.758;0.353
7.99;7;3;7;3;0;0;0;0;0;0;0;0;0.427;0.409;0.467;0.585;0.420;0.366;0.381;0.457;0.529;0.186;0.560;0.289;0.515;0.513;0.594;0.484;0.466;0.730;0.407;0.307;0.712;0.913;0.758;0.353
8.99;7;3;7;3;0;0;0;0;0;0;0;0;0.427;0.409;0.467;0.585;0.420;0.366;0.381;0.457;0.529;0.186;0.560;0.289;0.515;0.513;0.594;0.484;0.466;0.730;0.407;0.307;0.712;0.913;0.758;0.353
10.00;7;3;7;3;0;0;0;0;0;0;0;0;0.427;0.409;0.467;0.585;0.420;0.366;0.381;0.457;0.529;0.186;0.560;0.289;0.515;0.513;0.594;0.484;0.466;0.730;0.407;0.307;0.712;0.913;0.758;0.353
11.00;7;3;7;3;0;0;0;0;0;0;0;0;0.427;0.409;0.467;0.585;0.420;0.366;0.381;0.457;0.529;0.186;0.560;0.289;0.515;0.513;0.594;0.484;0.466;0.730;0.407;0.307;0.712;0.913;0.758;0.353
