Time;Herbivore_Male;Herbivore_Female;Predator_Male;Predator_Female;Deaths;HerbivoreDeaths;PredatorDeaths;Births;PredatorKills;TreesEaten;TreesSpawned;MaxGeneration;HerbivoreMale_Tezyzna;HerbivoreMale_Poped;HerbivoreMale_Zwin;HerbivoreMale_Atrak;HerbivoreMale_Perc;HerbivoreMale_Sila;HerbivoreFemale_Tezyzna;HerbivoreFemale_Poped;HerbivoreFemale_Zwin;HerbivoreFemale_Atrak;HerbivoreFemale_Perc;HerbivoreFemale_Sila;PredatorMale_Tezyzna;PredatorMale_Poped;PredatorMale_Zwin;PredatorMale_Atrak;PredatorMale_Perc;PredatorMale_Sila;PredatorFemale_Tezyzna;PredatorFemale_Poped;PredatorFemale_Zwin;PredatorFemale_Atrak;PredatorFemale_Perc;PredatorFemale_Sila
0.98;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
1.98;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
2.98;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
3.99;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
4.99;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
5.99;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
6.99;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
8.00;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
9.00;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
10.00;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
11.00;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
12.00;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
13.00;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
14.00;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
15.00;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
16.01;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
17.01;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
18.01;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
19.01;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
20.01;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
21.01;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
22.01;5;5;8;2;0;0;0;0;0;1;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
23.02;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
24.02;5;5;8;2;0;0;0;0;0;2;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
25.02;5;5;8;2;0;0;0;0;0;1;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
26.02;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
27.02;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
28.02;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
29.02;5;5;8;2;0;0;0;0;0;3;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
30.02;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
31.02;5;5;8;2;0;0;0;0;0;0;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
32.03;5;5;8;2;0;0;0;0;0;1;0;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
33.03;5;5;8;2;0;0;0;0;0;0;1;0;0.696;0.321;0.752;0.582;0.529;0.637;0.839;0.743;0.434;0.442;0.285;0.412;0.373;0.416;0.493;0.388;0.706;0.277;0.832;0.375;0.482;0.581;0.561;0.502
